CPH-L-131B. Size of Household--Households by Total Money Income in 1989, by State,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
------------------------------------------------------------------------------------------------------------,,,,,,,
                              Total,1-Person,2-Person,3-Person,4-Person,5-Person,6+-Persons,
"Less than $5,000","60,824","37,762","13,111","5,352","2,702","1,181",716
"$5,000 to $9,999","108,006","63,584","24,676","9,470","5,947","2,799","1,530"
"$10,000 to $12,499","60,510","27,431","20,066","6,095","3,789","1,853","1,276"
"$12,500 to $14,999","51,915","19,537","19,537","6,048","3,716","1,989","1,088"
"$15,000 to $17,499","58,740","20,413","22,718","7,054","4,657","2,351","1,547"
"$17,500 to $19,999","53,125","15,775","21,847","6,735","4,992","2,309","1,467"
"$20,000 to $22,499","59,918","16,779","23,078","8,341","6,768","3,355","1,597"
"$22,500 to $24,999","50,910","11,717","20,987","7,677","6,222","2,778","1,529"
"$25,000 to $27,499","54,158","11,593","21,244","8,714","7,458","3,570","1,579"
"$27,500 to $29,999","45,587","8,043","18,308","7,302","7,183","3,221","1,530"
"$30,000 to $32,499","53,398","9,683","19,667","8,595","9,518","3,956","1,979"
"$32,500 to $34,999","41,743","5,743","16,364","7,587","7,107","3,235","1,707"
"$35,000 to $37,499","44,734","6,002","16,580","8,170","8,500","3,774","1,708"
"$37,500 to $39,999","34,862","3,283","13,612","6,411","6,996","3,143","1,417"
"$40,000 to $42,499","39,113","4,188","14,095","7,800","7,926","3,451","1,653"
"$42,500 to $44,999","28,087","1,973","10,864","5,950","5,497","2,485","1,318"
"$45,000 to $47,499","29,497","2,044","11,154","6,119","6,407","2,557","1,216"
"$47,500 to $49,999","23,409","1,351","8,502","5,141","5,227","2,117","1,071"
"$50,000 to $54,999","44,627","2,739","16,592","9,641","9,920","3,714","2,021"
"$55,000 to $59,999","32,691","1,520","12,121","7,477","7,180","2,788","1,605"
"$60,000 to $74,499","61,164","2,778","22,347","13,850","14,046","5,476","2,667"
"$75,000 to $99,999","37,088","1,673","13,851","8,148","8,130","3,405","1,881"
"$100,000 to $124,999","13,758",795,"5,509","2,861","2,679","1,180",734
"$125,000 to $149,999","5,866",407,"2,399","1,146","1,185",423,306
"$150,000 or more","11,632",818,"4,526","2,233","2,459","1,023",573
Median (dollars),"27,250","13,785","28,813","34,337","37,367","35,973","35,457"
,,,,,,,
,,,,,,,
PENNSYLVANIA,,,,,,,
,,,,,,,
  Total,"4,492,958","1,142,393","1,438,051","788,273","679,256","301,988","142,997"
"Less than $5,000","244,825","138,479","49,697","29,229","15,758","6,917","4,745"
"$5,000 to $9,999","452,700","293,567","83,022","33,279","24,121","11,648","7,063"
"$10,000 to $12,499","221,502","109,097","68,155","20,039","13,085","6,745","4,381"
"$12,500 to $14,999","193,801","78,442","73,164","19,594","12,470","6,321","3,810"
"$15,000 to $17,499","215,433","77,227","83,556","25,698","17,038","7,834","4,080"
"$17,500 to $19,999","196,882","59,889","80,465","26,450","17,921","7,824","4,333"
"$20,000 to $22,499","220,556","63,750","84,834","31,817","24,076","10,826","5,253"
"$22,500 to $24,999","186,047","44,825","74,387","29,578","22,289","10,503","4,465"
"$25,000 to $27,499","206,417","47,965","75,420","35,799","28,614","12,841","5,778"
"$27,500 to $29,999","172,621","31,996","64,076","32,821","27,114","11,374","5,240"
"$30,000 to $32,499","207,578","39,514","70,589","39,412","35,999","15,621","6,443"
"$32,500 to $34,999","158,078","20,955","56,266","34,175","29,234","12,275","5,173"
"$35,000 to $37,499","176,887","25,365","59,002","38,171","34,039","14,389","5,921"
"$37,500 to $39,999","140,281","15,582","48,450","31,698","27,815","11,995","4,741"
"$40,000 to $42,499","162,316","17,732","53,749","36,476","34,314","14,170","5,875"
"$42,500 to $44,999","120,365","9,939","39,754","29,039","26,073","10,974","4,586"
"$45,000 to $47,499","126,527","10,405","40,670","30,575","28,084","11,827","4,966"
"$47,500 to $49,999","101,820","6,433","33,398","25,634","23,047","9,136","4,172"
"$50,000 to $54,999","192,430","12,696","60,416","47,090","45,001","19,142","8,085"
"$55,000 to $59,999","148,154","7,713","45,631","37,497","34,808","15,437","7,068"
"$60,000 to $74,499","292,049","13,285","85,516","73,640","72,922","31,691","14,995"
"$75,000 to $99,999","193,936","8,039","56,321","46,285","48,417","23,488","11,386"
"$100,000 to $124,999","71,686","3,544","21,971","15,492","16,930","8,751","4,998"
"$125,000 to $149,999","29,870","1,702","9,596","6,692","6,765","3,215","1,900"
"$150,000 or more","60,197","4,252","19,946","12,093","13,322","7,044","3,540"
Median (dollars),"29,069","13,458","29,307","37,374","40,733","40,685","40,031"
,,,,,,,
,,,,,,,
RHODE ISLAND,,,,,,,
,,,,,,,
  Total,"377,080","97,919","117,305","67,107","58,583","24,689","11,477"
"Less than $5,000","15,653","10,441","2,531","1,237",807,399,238
"$5,000 to $9,999","39,408","26,440","7,071","3,058","1,739",810,290
"$10,000 to $12,499","16,310","8,474","4,745","1,495",956,416,224
"$12,500 to $14,999","14,211","5,955","5,519","1,286",762,403,286
"$15,000 to $17,499","15,717","6,486","5,430","2,002","1,059",448,292
"$17,500 to $19,999","14,025","5,092","5,503","1,701",962,509,258
"$20,000 to $22,499","16,472","5,377","6,099","2,172","1,669",791,364
"$22,500 to $24,999","13,543","3,594","5,003","2,248","1,625",761,312
"$25,000 to $27,499","15,635","4,493","5,104","2,603","2,079",911,445
"$27,500 to $29,999","13,051","2,894","4,683","2,648","1,799",772,255
"$30,000 to $32,499","16,639","3,825","5,271","3,121","2,735","1,195",492
"$32,500 to $34,999","13,023","1,858","5,047","2,528","2,350",880,360
"$35,000 to $37,499","14,913","2,501","5,019","2,989","2,988","1,038",378
"$37,500 to $39,999","12,673","1,414","4,390","2,961","2,680",825,403
"$40,000 to $42,499","14,214","1,634","5,178","3,023","2,874","1,092",413
"$42,500 to $44,999","11,129",955,"3,800","2,774","2,255",991,354
"$45,000 to $47,499","12,053",913,"4,066","2,900","2,732","1,069",373
"$47,500 to $49,999","9,138",500,"3,329","2,146","2,048",759,356
"$50,000 to $54,999","18,715","1,356","6,161","4,752","3,999","1,673",774
"$55,000 to $59,999","14,307",646,"4,404","3,420","3,597","1,480",760
"$60,000 to $74,499","29,856","1,260","8,770","7,570","7,424","3,239","1,593"
"$75,000 to $99,999","21,003",825,"5,691","5,240","5,593","2,385","1,269"
"$100,000 to $124,999","7,032",300,"1,887","1,500","1,882",906,557
"$125,000 to $149,999","3,154",273,892,647,777,372,193
"$150,000 or more","5,206",413,"1,712","1,086","1,192",565,238
Median (dollars),"32,181","14,013","33,339","41,244","44,947","45,242","47,511"
,,,,,,,
,,,,,,,
SOUTH CAROLINA,,,,,,,
,,,,,,,
  Total,"1,258,783","278,866","397,406","241,745","203,634","87,567","49,565"
"Less than $5,000","103,342","58,974","18,417","11,670","7,672","3,894","2,715"
"$5,000 to $9,999","129,447","64,202","35,349","13,472","8,679","4,315","3,430"
"$10,000 to $12,499","65,925","22,570","22,719","9,622","5,940","2,848","2,226"
"$12,500 to $14,999","57,054","16,656","20,812","8,825","5,781","2,930","2,050"
"$15,000 to $17,499","66,733","18,839","22,185","11,605","7,909","3,765","2,430"
"$17,500 to $19,999","58,056","14,778","19,689","10,466","7,495","3,286","2,342"
"$20,000 to $22,499","65,380","15,538","22,062","11,626","9,172","4,422","2,560"
"$22,500 to $24,999","52,786","9,321","18,878","10,374","8,025","3,973","2,215"
"$25,000 to $27,499","61,025","10,728","20,712","12,468","9,807","4,774","2,536"
"$27,500 to $29,999","50,023","7,151","17,376","10,370","8,977","3,863","2,286"
"$30,000 to $32,499","58,415","8,534","19,725","12,472","10,803","4,416","2,465"
"$32,500 to $34,999","44,582","4,490","15,493","10,343","8,520","3,939","1,797"
"$35,000 to $37,499","49,365","5,555","16,330","11,074","10,120","4,052","2,234"
"$37,500 to $39,999","37,958","3,067","12,756","8,766","8,085","3,465","1,819"
"$40,000 to $42,499","42,928","3,821","14,181","9,998","9,586","3,456","1,886"
"$42,500 to $44,999","30,620","1,684","10,012","7,413","7,191","2,980","1,340"
"$45,000 to $47,499","33,705","2,081","10,519","8,387","8,177","3,227","1,314"
"$47,500 to $49,999","25,157","1,116","8,281","6,336","5,746","2,457","1,221"
"$50,000 to $54,999","50,058","2,548","15,458","12,794","12,429","4,494","2,335"
"$55,000 to $59,999","35,470","1,439","11,050","8,950","8,826","3,539","1,666"
"$60,000 to $74,499","70,208","2,574","21,476","18,082","17,772","6,840","3,464"
"$75,000 to $99,999","41,822","1,585","12,868","10,446","10,755","4,168","2,000"
"$100,000 to $124,999","13,546",669,"5,054","3,081","2,937","1,154",651
"$125,000 to $149,999","5,452",301,"2,190","1,152","1,180",459,170
"$150,000 or more","9,726",645,"3,814","1,953","2,050",851,413
Median (dollars),"26,256","11,801","27,244","32,080","35,750","33,323","29,992"
,,,,,,,
,,,,,,,
SOUTH DAKOTA,,,,,,,
,,,,,,,
  Total,"260,059","68,038","85,631","38,270","37,620","19,998","10,502"
"Less than $5,000","19,789","11,747","3,421","1,717","1,370",758,776
"$5,000 to $9,999","31,561","18,171","7,816","2,174","1,580",818,"1,002"
"$10,000 to $12,499","16,881","7,615","5,496","1,493","1,054",670,553
"$12,500 to $14,999","15,127","5,466","5,513","1,810","1,169",697,472
"$15,000 to $17,499","16,501","5,654","5,826","1,960","1,574",929,558
"$17,500 to $19,999","14,519","3,817","5,452","1,989","1,750",930,581
"$20,000 to $22,499","15,634","3,703","5,792","2,207","1,984","1,287",661
"$22,500 to $24,999","12,924","2,191","4,997","2,050","2,024","1,094",568
"$25,000 to $27,499","13,595","2,220","5,001","2,323","2,268","1,268",515
"$27,500 to $29,999","11,140","1,450","4,295","1,981","1,798","1,147",469
"$30,000 to $32,499","12,361","1,482","4,387","2,151","2,470","1,341",530
"$32,500 to $34,999","9,615",743,"3,421","1,904","2,147",927,473
"$35,000 to $37,499","9,217",655,"3,212","1,871","1,988","1,093",398
"$37,500 to $39,999","7,461",528,"2,320","1,662","1,773",842,336
"$40,000 to $42,499","7,643",492,"2,835","1,447","1,801",786,282
"$42,500 to $44,999","5,678",288,"1,793","1,243","1,379",695,280
"$45,000 to $47,499","5,662",219,"1,971","1,206","1,230",773,263
"$47,500 to $49,999","4,536",155,"1,514",972,"1,121",549,225
"$50,000 to $54,999","7,533",328,"2,462","1,526","1,900",953,364
"$55,000 to $59,999","4,773",170,"1,558","1,072","1,200",553,220
"$60,000 to $74,499","8,903",419,"3,042","1,880","2,116",946,500
"$75,000 to $99,999","4,687",231,"1,814",960,"1,032",433,217
"$100,000 to $124,999","1,834",122,683,268,408,240,113
"$125,000 to $149,999",740,34,267,156,157,97,29
"$150,000 or more","1,745",138,743,248,327,172,117
Median (dollars),"22,503","11,346","24,251","29,282","32,266","30,748","25,388"
,,,,,,,
,,,,,,,
TENNESSEE,,,,,,,
,,,,,,,
  Total,"1,853,515","439,196","609,161","359,590","285,731","109,494","50,343"
"Less than $5,000","163,648","94,931","31,096","18,467","10,993","5,159","3,002"
"$5,000 to $9,999","207,221","101,550","61,692","21,565","12,852","5,580","3,982"
"$10,000 to $12,499","104,740","36,820","37,566","15,388","9,035","3,541","2,390"
"$12,500 to $14,999","89,526","26,654","33,841","13,964","8,677","4,026","2,364"
"$15,000 to $17,499","101,753","29,377","36,707","17,346","11,175","4,764","2,384"
"$17,500 to $19,999","88,474","22,247","33,001","16,069","10,722","4,164","2,271"
"$20,000 to $22,499","97,894","23,219","34,551","18,369","13,762","5,558","2,435"
"$22,500 to $24,999","79,647","15,729","29,109","16,720","11,489","4,444","2,156"
"$25,000 to $27,499","88,525","17,083","31,701","18,526","13,872","4,863","2,480"
"$27,500 to $29,999","70,372","10,372","26,179","14,958","11,871","4,922","2,070"
"$30,000 to $32,499","84,031","13,551","28,567","18,705","15,372","5,597","2,239"
"$32,500 to $34,999","61,093","6,644","21,996","14,687","11,741","4,288","1,737"
"$35,000 to $37,499","67,147","7,546","22,643","16,099","14,006","4,874","1,979"
"$37,500 to $39,999","52,969","4,604","18,380","12,934","11,491","4,171","1,389"
"$40,000 to $42,499","57,308","5,402","19,087","13,853","12,883","4,200","1,883"
"$42,500 to $44,999","42,799","2,691","14,012","11,631","9,648","3,581","1,236"
"$45,000 to $47,499","46,215","3,125","14,974","12,209","10,913","3,588","1,406"
"$47,500 to $49,999","34,541","1,722","10,973","9,404","8,247","2,954","1,241"
"$50,000 to $54,999","67,313","3,867","21,584","16,757","16,796","5,945","2,364"
"$55,000 to $59,999","49,414","2,165","16,154","12,792","11,730","4,708","1,865"
"$60,000 to $74,499","94,201","3,949","29,293","24,719","23,780","9,048","3,412"
"$75,000 to $99,999","56,341","2,717","18,280","14,096","14,063","4,935","2,250"
"$100,000 to $124,999","20,626","1,208","7,489","4,736","4,601","1,767",825
"$125,000 to $149,999","8,143",550,"3,003","1,743","1,728",791,328
"$150,000 or more","19,574","1,473","7,283","3,853","4,284","2,026",655
Median (dollars),"24,807","11,570","25,553","31,126","35,233","33,741","29,562"
,,,,,,,
,,,,,,,
TEXAS,,,,,,,
,,,,,,,
  Total,"6,079,341","1,440,639","1,821,962","1,052,101","960,197","478,766","325,676"
"Less than $5,000","496,730","247,454","95,815","59,969","44,797","25,935","22,760"
"$5,000 to $9,999","581,538","266,805","146,822","64,410","46,416","29,502","27,583"
"$10,000 to $12,499","325,235","115,405","93,789","44,216","33,326","20,915","17,584"
"$12,500 to $14,999","271,934","82,048","83,858","40,115","30,281","18,943","16,689"
"$15,000 to $17,499","308,097","94,876","90,784","46,810","36,315","21,640","17,672"
"$17,500 to $19,999","271,846","74,810","83,276","42,401","34,520","20,238","16,601"
"$20,000 to $22,499","309,363","86,655","92,803","48,183","40,641","23,483","17,598"
"$22,500 to $24,999","251,143","60,526","80,004","41,224","34,385","19,874","15,130"
"$25,000 to $27,499","277,561","67,654","84,118","47,127","40,679","22,110","15,873"
"$27,500 to $29,999","218,900","43,347","69,272","38,555","35,556","18,900","13,270"
"$30,000 to $32,499","269,304","58,318","81,021","48,044","44,711","22,953","14,257"
"$32,500 to $34,999","192,253","31,470","61,146","36,293","33,864","17,347","12,133"
"$35,000 to $37,499","219,944","37,228","67,666","41,248","41,095","20,245","12,462"
"$37,500 to $39,999","167,410","21,952","53,950","33,579","32,656","15,544","9,729"
"$40,000 to $42,499","200,212","27,699","62,764","39,811","40,754","18,555","10,629"
"$42,500 to $44,999","142,880","14,872","46,238","30,068","29,764","13,435","8,503"
"$45,000 to $47,499","153,934","14,701","48,985","32,601","34,120","15,071","8,456"
"$47,500 to $49,999","121,920","10,273","38,825","26,212","27,467","12,123","7,020"
"$50,000 to $54,999","245,408","20,989","79,079","53,769","55,938","23,292","12,341"
"$55,000 to $59,999","184,542","11,687","59,784","41,281","43,855","18,200","9,735"
"$60,000 to $74,499","381,136","22,204","125,594","88,370","91,372","35,459","18,137"
"$75,000 to $99,999","262,522","13,918","91,890","60,733","59,460","24,287","12,234"
"$100,000 to $124,999","98,659","6,503","35,796","21,172","21,842","9,148","4,198"
"$125,000 to $149,999","41,695","2,388","16,221","8,974","8,496","3,774","1,842"
"$150,000 or more","85,175","6,857","32,462","16,936","17,887","7,793","3,240"
Median (dollars),"27,016","15,227","29,655","32,844","36,497","31,943","26,767"
,,,,,,,
,,,,,,,
UTAH,,,,,,,
,,,,,,,
  Total,"537,196","100,855","152,571","83,368","80,595","54,064","65,743"
"Less than $5,000","23,914","12,508","5,098","3,029","1,583",942,754
"$5,000 to $9,999","43,891","23,097","9,846","4,351","3,300","1,784","1,513"
"$10,000 to $12,499","26,303","10,357","8,152","3,125","2,308","1,212","1,149"
"$12,500 to $14,999","23,423","7,084","7,866","3,244","2,665","1,392","1,172"
"$15,000 to $17,499","26,600","7,293","9,279","4,067","2,654","1,660","1,647"
"$17,500 to $19,999","24,867","5,703","8,977","3,699","2,969","1,730","1,789"
"$20,000 to $22,499","28,717","6,250","9,496","4,558","3,754","2,260","2,399"
"$22,500 to $24,999","24,480","4,228","8,468","3,838","3,126","2,366","2,454"
"$25,000 to $27,499","28,341","4,648","9,030","4,341","4,189","3,048","3,085"
"$27,500 to $29,999","22,919","3,097","7,679","3,572","3,537","2,312","2,722"
"$30,000 to $32,499","27,954","3,768","7,861","4,330","4,588","3,427","3,980"
"$32,500 to $34,999","21,441","1,889","6,072","3,571","3,872","2,529","3,508"
"$35,000 to $37,499","23,144","2,293","5,933","3,728","4,157","3,083","3,950"
"$37,500 to $39,999","19,247","1,349","5,279","3,381","3,541","2,436","3,261"
"$40,000 to $42,499","21,569","1,577","5,512","3,581","3,960","3,068","3,871"
"$42,500 to $44,999","15,576",813,"4,064","2,545","3,251","2,021","2,882"
"$45,000 to $47,499","15,496",771,"3,945","2,791","2,960","2,102","2,927"
"$47,500 to $49,999","12,584",555,"3,088","2,163","2,473","1,754","2,551"
"$50,000 to $54,999","24,510","1,046","6,438","4,169","4,884","3,463","4,510"
"$55,000 to $59,999","17,458",495,"4,206","3,290","3,405","2,564","3,498"
"$60,000 to $74,499","32,322",837,"7,984","6,323","6,794","4,564","5,820"
"$75,000 to $99,999","18,939",550,"4,858","3,486","4,111","2,599","3,335"
"$100,000 to $124,999","6,154",250,"1,515","1,036","1,300",865,"1,188"
"$125,000 to $149,999","2,571",143,625,437,439,327,600
"$150,000 or more","4,776",254,"1,300",713,775,556,"1,178"
Median (dollars),"29,470","14,076","27,524","32,229","36,054","36,922","39,608"
,,,,,,,
,,,,,,,
VERMONT,,,,,,,
,,,,,,,
  Total,"210,633","49,165","71,173","37,060","34,330","13,769","5,136"
"Less than $5,000","6,984","4,700","1,227",611,302,113,31
"$5,000 to $9,999","21,152","13,398","4,756","1,602",882,423,91
"$10,000 to $12,499","10,332","4,792","3,264","1,039",721,349,167
"$12,500 to $14,999","8,739","3,436","3,110","1,039",711,346,97
"$15,000 to $17,499","10,274","3,753","3,836","1,164",910,413,198
"$17,500 to $19,999","9,103","2,770","3,411","1,341",994,422,165
"$20,000 to $22,499","11,145","3,246","4,098","1,633","1,370",565,233
"$22,500 to $24,999","8,964","1,804","3,537","1,546","1,293",569,215
"$25,000 to $27,499","10,568","2,149","3,986","1,821","1,694",659,259
"$27,500 to $29,999","8,787","1,253","3,325","1,715","1,583",684,227
"$30,000 to $32,499","10,308","1,641","3,574","1,903","2,048",876,266
"$32,500 to $34,999","7,777",811,"2,882","1,568","1,712",604,200
"$35,000 to $37,499","9,140","1,063","3,438","1,833","1,847",716,243
"$37,500 to $39,999","7,065",568,"2,660","1,574","1,529",537,197
"$40,000 to $42,499","8,576",786,"3,032","1,839","1,979",709,231
"$42,500 to $44,999","5,737",252,"2,052","1,423","1,414",437,159
"$45,000 to $47,499","6,590",501,"2,229","1,440","1,563",683,174
"$47,500 to $49,999","4,956",235,"1,683","1,165","1,219",441,213
"$50,000 to $54,999","9,695",522,"3,500","2,368","2,221",770,314
"$55,000 to $59,999","6,807",283,"2,226","1,701","1,705",656,236
"$60,000 to $74,499","13,621",564,"4,372","3,519","3,269","1,396",501
"$75,000 to $99,999","8,342",276,"2,833","1,938","2,095",762,438
"$100,000 to $124,999","2,936",179,"1,025",686,579,323,144
"$125,000 to $149,999","1,117",63,397,226,241,127,63
"$150,000 or more","1,918",120,720,366,449,189,74
Median (dollars),"29,792","13,731","30,725","37,111","39,295","38,177","39,734"
,,,,,,,
,,,,,,,
VIRGINIA,,,,,,,
,,,,,,,
  Total,"2,294,722","520,868","751,230","444,986","360,594","145,663","71,381"
"Less than $5,000","124,579","70,319","25,498","14,916","8,495","3,407","1,944"
"$5,000 to $9,999","163,929","86,321","43,910","17,173","9,652","4,088","2,785"
"$10,000 to $12,499","92,112","38,193","29,471","12,628","7,042","3,104","1,674"
"$12,500 to $14,999","81,599","28,778","28,211","12,191","7,616","3,017","1,786"
"$15,000 to $17,499","95,097","32,083","32,091","14,895","9,658","4,133","2,237"
"$17,500 to $19,999","88,185","26,670","30,343","14,242","10,213","4,585","2,132"
"$20,000 to $22,499","102,926","30,347","34,969","17,155","12,598","5,258","2,599"
"$22,500 to $24,999","87,914","22,109","30,928","16,394","11,100","5,038","2,345"
"$25,000 to $27,499","100,782","25,765","33,710","18,599","14,450","5,575","2,683"
"$27,500 to $29,999","83,290","18,251","29,117","15,732","12,540","5,264","2,386"
"$30,000 to $32,499","101,328","23,165","33,157","19,890","16,003","6,239","2,874"
"$32,500 to $34,999","77,333","12,857","26,514","16,889","13,247","5,281","2,545"
"$35,000 to $37,499","88,862","16,674","29,601","18,868","14,892","6,273","2,554"
"$37,500 to $39,999","71,642","10,659","24,470","15,602","13,578","4,985","2,348"
"$40,000 to $42,499","84,916","13,102","28,193","18,096","16,072","6,685","2,768"
"$42,500 to $44,999","64,182","7,619","21,837","14,515","12,898","4,937","2,376"
"$45,000 to $47,499","68,329","8,491","23,230","15,559","13,521","5,199","2,329"
"$47,500 to $49,999","55,411","5,469","18,334","13,185","11,989","4,423","2,011"
"$50,000 to $54,999","111,633","11,191","37,718","25,473","23,501","9,389","4,361"
"$55,000 to $59,999","89,028","6,682","29,930","21,388","19,829","7,577","3,622"
"$60,000 to $74,499","191,693","12,844","65,158","46,573","42,213","16,862","8,043"
"$75,000 to $99,999","150,094","7,326","51,134","37,870","33,257","13,314","7,193"
"$100,000 to $124,999","61,091","2,655","21,783","14,216","13,975","5,515","2,947"
"$125,000 to $149,999","23,142","1,053","8,440","5,588","4,819","2,153","1,089"
"$150,000 or more","35,625","2,245","13,483","7,349","7,436","3,362","1,750"
Median (dollars),"33,328","17,944","34,783","39,570","43,109","42,462","42,532"
,,,,,,,
,,,,,,,
WASHINGTON,,,,,,,
,,,,,,,
  Total,"1,875,508","473,924","644,119","305,502","272,175","118,107","61,681"
"Less than $5,000","85,161","53,264","17,470","7,132","4,001","1,823","1,471"
"$5,000 to $9,999","157,317","92,230","33,461","16,544","8,923","4,203","1,956"
"$10,000 to $12,499","84,161","41,093","23,741","8,633","6,015","2,962","1,717"
"$12,500 to $14,999","74,442","31,143","24,607","8,604","5,668","2,535","1,885"
"$15,000 to $17,499","86,048","33,765","29,258","10,563","7,177","3,369","1,916"
"$17,500 to $19,999","80,685","27,668","29,643","10,230","7,542","3,474","2,128"
"$20,000 to $22,499","91,071","29,909","33,140","11,636","9,343","4,506","2,537"
"$22,500 to $24,999","77,400","21,834","30,252","10,642","8,365","3,974","2,333"
"$25,000 to $27,499","86,734","23,228","32,158","12,867","10,820","5,217","2,444"
"$27,500 to $29,999","71,524","15,256","28,297","11,383","9,964","4,280","2,344"
"$30,000 to $32,499","91,285","21,864","32,134","14,585","13,528","6,059","3,115"
"$32,500 to $34,999","66,451","12,103","25,248","11,737","10,113","5,081","2,169"
"$35,000 to $37,499","78,396","14,039","28,678","13,339","13,225","6,128","2,987"
"$37,500 to $39,999","61,831","8,222","23,457","11,407","11,129","4,765","2,851"
"$40,000 to $42,499","71,118","9,805","25,869","12,756","14,212","5,973","2,503"
"$42,500 to $44,999","52,884","4,702","19,646","10,914","10,576","4,626","2,420"
"$45,000 to $47,499","57,135","5,624","21,265","11,609","11,675","4,998","1,964"
"$47,500 to $49,999","46,102","3,500","17,306","9,418","9,838","4,074","1,966"
"$50,000 to $54,999","88,846","6,521","32,599","19,401","19,209","7,463","3,653"
"$55,000 to $59,999","68,092","3,103","25,463","15,678","14,969","5,761","3,118"
"$60,000 to $74,499","140,031","6,631","52,115","31,504","31,532","12,121","6,128"
"$75,000 to $99,999","90,290","3,944","32,652","20,600","20,050","8,378","4,666"
"$100,000 to $124,999","31,584","1,937","11,986","6,889","6,355","2,858","1,559"
"$125,000 to $149,999","13,108",651,"4,575","3,046","2,861","1,234",741
"$150,000 or more","23,812","1,888","9,099","4,385","5,085","2,245","1,110"
Median (dollars),"31,183","16,424","33,282","38,564","41,807","40,284","39,112"
,,,,,,,
,,,,,,,
WEST VIRGINIA,,,,,,,
,,,,,,,
  Total,"688,727","168,115","221,830","130,370","109,071","42,814","16,527"
"Less than $5,000","73,017","37,233","15,225","9,976","6,520","2,940","1,123"
"$5,000 to $9,999","95,610","48,611","24,088","10,697","7,481","3,280","1,453"
"$10,000 to $12,499","48,204","17,698","16,444","6,470","4,641","2,005",946
"$12,500 to $14,999","39,974","11,920","15,335","5,729","4,386","1,827",777
"$15,000 to $17,499","40,808","10,149","15,509","7,045","5,045","2,129",931
"$17,500 to $19,999","35,159","7,079","14,530","6,164","4,705","1,811",870
"$20,000 to $22,499","36,472","6,607","13,975","7,204","5,610","2,137",939
"$22,500 to $24,999","28,923","4,612","11,146","6,047","4,711","1,725",682
"$25,000 to $27,499","30,436","4,743","11,375","6,534","4,992","2,055",737
"$27,500 to $29,999","24,503","2,883","8,886","5,805","4,438","1,883",608
"$30,000 to $32,499","27,946","3,504","9,224","6,374","6,083","2,114",647
"$32,500 to $34,999","21,059","1,778","7,060","5,401","4,566","1,708",546
"$35,000 to $37,499","22,977","2,481","7,315","5,610","5,214","1,738",619
"$37,500 to $39,999","17,533","1,147","5,831","4,244","4,190","1,520",601
"$40,000 to $42,499","19,666","1,581","5,886","4,991","4,805","1,757",646
"$42,500 to $44,999","14,376",698,"4,597","3,923","3,464","1,277",417
"$45,000 to $47,499","14,514",718,"4,674","3,635","3,760","1,341",386
"$47,500 to $49,999","11,501",465,"3,479","2,901","3,156","1,153",347
"$50,000 to $54,999","21,546",933,"6,587","5,483","5,874","1,944",725
"$55,000 to $59,999","14,745",547,"4,670","3,880","3,882","1,303",463
"$60,000 to $74,499","25,757","1,117","8,195","6,803","6,048","2,696",898
"$75,000 to $99,999","13,414",743,"4,136","3,310","3,123","1,369",733
"$100,000 to $124,999","4,480",368,"1,575",865,"1,109",335,228
"$125,000 to $149,999","1,964",135,672,410,388,294,65
"$150,000 or more","4,143",365,"1,416",869,880,473,140
Median (dollars),"20,795","9,684","21,750","27,239","30,825","29,489","26,840"
,,,,,,,
,,,,,,,
WISCONSIN,,,,,,,
,,,,,,,
  Total,"1,824,252","441,553","596,473","302,347","285,695","133,910","64,274"
"Less than $5,000","67,487","40,122","13,227","5,951","4,145","2,261","1,781"
"$5,000 to $9,999","187,926","118,663","35,742","15,934","9,598","4,870","3,119"
"$10,000 to $12,499","90,391","43,896","27,863","7,940","5,688","2,930","2,074"
"$12,500 to $14,999","80,437","33,082","29,284","7,621","5,625","2,784","2,041"
"$15,000 to $17,499","87,997","32,176","33,610","9,487","6,783","3,561","2,380"
"$17,500 to $19,999","82,682","26,104","33,392","10,009","7,511","3,359","2,307"
"$20,000 to $22,499","91,496","26,690","35,814","11,638","9,592","5,118","2,644"
"$22,500 to $24,999","79,258","18,391","32,284","11,851","9,495","4,684","2,553"
"$25,000 to $27,499","87,014","19,566","32,522","14,028","12,382","5,583","2,933"
"$27,500 to $29,999","73,937","13,607","28,523","12,634","11,421","5,412","2,340"
"$30,000 to $32,499","86,852","15,173","30,031","15,452","15,717","7,244","3,235"
"$32,500 to $34,999","69,896","8,493","25,599","13,366","13,645","6,202","2,591"
"$35,000 to $37,499","77,049","9,229","26,402","15,594","15,210","7,377","3,237"
"$37,500 to $39,999","64,120","5,686","22,184","13,545","13,501","6,692","2,512"
"$40,000 to $42,499","71,684","6,677","23,670","14,873","16,487","7,178","2,799"
"$42,500 to $44,999","54,665","3,348","18,340","12,086","12,898","5,763","2,230"
"$45,000 to $47,499","55,356","3,369","18,249","12,317","13,106","6,104","2,211"
"$47,500 to $49,999","45,274","2,104","14,581","10,628","10,983","4,956","2,022"
"$50,000 to $54,999","82,587","3,901","26,204","19,276","20,633","8,909","3,664"
"$55,000 to $59,999","61,318","2,221","18,863","14,394","15,902","6,895","3,043"
"$60,000 to $74,499","113,185","3,977","34,524","27,946","28,623","12,745","5,370"
"$75,000 to $99,999","65,362","2,348","19,253","15,897","16,166","7,617","4,081"
